_id,contentId,collectionId,contentType,language,contentIndex,tags,createdAt,text,multilingual,mech1_type,mech1_question,mech1_option1,mech1_option2,mech1_option3,mech1_correct,mech2_type,mech2_question,mech2_option1,mech2_option2,mech2_option3,mech2_correct,mech3_type,mech3_question,mech3_option1,mech3_option2,mech3_option3,mech3_correct
65e8564c75372f314360a663,067fd604-fd52-4202-9b52-c635611a60d0,1da05e37-8ddc-4a5e-b059-abaa3ef45198,sentence,hi,1,,2024-02-29T12:55:30.791Z,गाँव में बरगद का एक पेड़ था।,,,,,,,,,,,,,,,,,,,
65e8564c75372f314360a665,a9c2dcc0-fb14-41b1-9b79-664096747c8a,1da05e37-8ddc-4a5e-b059-abaa3ef45198,sentence,hi,2,,2024-02-29T12:55:30.791Z,उस पर बहुत सारी चिड़ियाँ रहती थी।,,,,,,,,,,,,,,,,,,,
65e8564c75372f314360a669,e80047f2-2b24-43ad-a071-c8ba950d2ce0,1da05e37-8ddc-4a5e-b059-abaa3ef45198,sentence,hi,4,,2024-02-29T12:55:30.791Z,एक दिन एक आदमी उस पेड़ को काटने लगा।,,,,,,,,,,,,,,,,,,,
65e8564c75372f314360a66b,2c3c7038-1c95-4afe-8eda-4363c4b8357a,1da05e37-8ddc-4a5e-b059-abaa3ef45198,sentence,hi,5,,2024-02-29T12:55:30.791Z,तभी एक चिड़िया ने उसके सिर पर जोर से चोच मारी।,,,,,,,,,,,,,,,,,,,
65e8564d75372f314360a671,4d4ea36c-41a5-41d0-881b-e0a04bc0de5c,1da05e37-8ddc-4a5e-b059-abaa3ef45198,sentence,hi,8,,2024-02-29T12:55:30.791Z,सबने मिलकर बरगद के पेड़ को बचा लिया ।,,,,,,,,,,,,,,,,,,,
65e8565475372f314360a673,413e321b-8f62-4ec1-9f9b-d3bd560d5dcd,a1cd9d37-2fe1-429f-8830-dde473b9e87f,sentence,hi,1,,2024-02-29T12:55:30.791Z,सलमा बगीचे में घूमने गई।,,,,,,,,,,,,,,,,,,,
65e8565475372f314360a675,a2183704-059b-4f10-9cf1-8bfdb34396c0,a1cd9d37-2fe1-429f-8830-dde473b9e87f,sentence,hi,2,,2024-02-29T12:55:30.791Z,वहाँ आम का एक पेड़ था।,,,,,,,,,,,,,,,,,,,
65e8565475372f314360a677,00aa220a-ffee-45e9-b792-b5780d6fc18b,a1cd9d37-2fe1-429f-8830-dde473b9e87f,sentence,hi,3,,2024-02-29T12:55:30.791Z,पेड़ पर बहुत आम थे।,,,,,,,,,,,,,,,,,,,
65e8565475372f314360a679,7669a757-9e8f-4a11-a4f6-07af6842f013,a1cd9d37-2fe1-429f-8830-dde473b9e87f,sentence,hi,4,,2024-02-29T12:55:30.791Z,सलमा को आम खाने का मन हुआ।,,,,,,,,,,,,,,,,,,,
65e8565475372f314360a67b,6ebbd878-62b7-4d80-8caf-4683463bde3c,a1cd9d37-2fe1-429f-8830-dde473b9e87f,sentence,hi,5,,2024-02-29T12:55:30.791Z,आम ऊपर की डाल पर थे।,,,,,,,,,,,,,,,,,,,
